datetime,arithmetic_mean,aqi,first_max_value,first_max_hour,county_code,state_code,parameter_code,parameter,sample_duration_code,sample_duration,pollutant_standard,units_of_measure
2023-01-30,8.0,7.333333333333333,8.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-02,22.666666666666668,21.0,22.666666666666668,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-05,8.666666666666666,8.0,8.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-08,22.333333333333332,20.666666666666668,22.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-11,11.666666666666666,10.666666666666666,11.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-14,12.666666666666666,11.666666666666666,12.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-17,27.333333333333332,23.333333333333332,27.333333333333332,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-20,24.0,21.666666666666668,24.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-23,10.333333333333334,9.666666666666666,10.333333333333334,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-02-26,7.0,6.333333333333333,7.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-01,6.333333333333333,6.0,6.333333333333333,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-04,15.666666666666666,14.666666666666666,15.666666666666666,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-07,9.0,8.333333333333334,9.0,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
2023-03-10,5.666666666666667,5.333333333333333,5.666666666666667,0.0,051,06,81102,PM10 Total 0-10um STP,7,24 HOUR,PM10 24-hour 2006,Micrograms/cubic meter (25 C)
