code,name
43241,"2,3-Dimethyl-2-pentene"
43242,Cyclopentane
43243,Isoprene
43244,"2,2-Dimethylbutane"
43245,1-Hexene
43246,2-Methyl-1-pentene
43247,"2,4-Dimethylpentane"
43248,Cyclohexane
43249,3-Methylhexane
43250,"2,2,4-Trimethylpentane"
43251,Cyclopropane
43252,"2,3,4-Trimethylpentane"
43253,3-Methylheptane
43254,cis-3-Hexene
43255,Limonene
43256,alpha.-Pinene
43257,beta.-Pinene
43259,n-Tetradecane
43260,n-Pentadecane
43261,Methylcyclohexane
43262,Methylcyclopentane
43263,2-Methylhexane
43264,Heptane
43269,Cyclohexene
43270,Isobutene
43274,"2,4,4-Trimethyl-1-pentene"
43275,"2,4,4-Trimethyl-2-pentene"
43279,1-Nonene
43280,1-Butene
43282,3-Methyl-1-butene
43283,Cyclopentene
43284,"2,3-Dimethylbutane"
43285,2-Methylpentane
43286,cis-4-Methyl-2-pentene
43289,trans-2-Hexene
43290,cis-2-Hexene
43291,"2,3-Dimethylpentane"
43292,2-2-3-Trimethylpentane
43293,"2,4-Dimethylhexane"
43294,"2,3-Dimethylhexane"
43295,3-Ethylhexane
43296,Ethylcyclohexane
43298,1-Decene
43299,1-Undecene
43301,Methanol
43302,Ethyl alcohol
43303,n-Propyl alcohol
43305,n-Butyl alcohol
43306,ISO-BUTYL ALCOHOL
43307,n-Amyl alcohol
43309,tert-butyl alcohol
43312,2-Propanol
43323,n-Pinene & benzaldehyde
43328,1-Heptene
43329,Butyraldehyde & isobutyraldehyde
43330,Dodecene
43331,2-Chloropentane
43335,3-Chloropropene
43339,Butryl-aldehyde & Methyl Ethyl Ketone
43340,Ethyne & isobutane
43341,Isopentane & cyclopentane
43342,3-Methyl-1-butene & cyclopentene
43343,2-Methyl-2-butene & 1-pentene
43344,1-Hexanol
43346,"Methylcyclopentane & 2,4-dimethylpentane"
43347,2-Methylhexane & cyclohexane
43348,"n-Decane & 1,2,4-trimethylbenzene"
43349,cis-2-Pentene & 2-methylpentane
43352,Dichloroethyl ether
43356,Diethylene glycol
43359,Chlorodifluoromethane
43360,dichlorofluoromethane
43362,"2-Methylhexane & 2,3-dimethylpentane "
43363,"1,2,4-Trimethylbenzene & sec-butylbenzene"
43364,"1,2,4-Trimethylbenzene & .beta.-pinene"
43372,Methyl tert-butyl ether
43373,Tert-amyl methyl ether
43375,"2,2-Dimethylheptane"
43376,"2,2,4-Trimethylhexane"
43378,1-Methylcyclohexene
43379,m(and p)-Ethyltoluene
43391,4-Methylpentene & 3-methylpentene
43392,"2,2,3-Trimethylbutane"
43393,"cis-1,2-Dimethylcyclopentane"
43394,"trans-1,3-Dimethylcyclopentane"
43395,4-Methylheptane
43396,tert-Butyl ethyl ether
43434,n-Propyl acetate
43438,Ethyl acrylate
43440,n-Butyl acrylate
43441,Methyl methacrylate
43447,Vinyl acetate
43501,Aldehydes
43502,Formaldehyde
43503,Acetaldehyde
43504,Propionaldehyde
43505,Acrolein - Unverified
43509,Acrolein - Verified
43510,Butyraldehyde
43511,HEXANAL
43512,Isobutyraldehyde
43513,Isovaleraldehyde
43514,Butyl acetate
43515,Methacrolein
43516,Trans-Crotonaldehyde
43517,Hexanaldehyde
43518,Valeraldehyde
43520,cis-Crotonaldehyde
43521,Decanal
43522,Dodecanal
43523,Tetradecanal
43524,Nonanal
43525,Octanal
43526,Tridecanal
43527,Undecanal
43528,Crotonaldehyde
43549,Methyl ethyl ketone & methacrolein
43551,Acetone
43552,Methyl ethyl ketone
43553,3-Pentanone
43557,3-Hexanone
43558,Methyl Vinyl Ketone
43559,Methyl Butyl Ketone
43560,Methyl isobutyl ketone
43562,2-Pentanone
43563,3-Heptanone
43564,2-Methyl-3-hexanone
43565,Acetophenone
43566,"1,2-Epoxybutane"
43599,Ethane & acetylene
43601,Ethylene oxide
43602,Propylene oxide
43604,"1,2,3-Trichloropropane"
43605,"1,3,5-Trichlorobenzene"
43606,Propionitrile
43607,Epichlorohydrin
43702,Acetonitrile
43704,Acrylonitrile
43756,2-Nitropropane
43776,Radon
43800,Total chlorinated hydrocarbons
43801,Chloromethane
43802,Dichloromethane
43803,Chloroform
43804,Carbon tetrachloride
43805,Dibromomethane
43806,Bromoform
43808,Methyl Iodide
43811,Trichlorofluoromethane
43812,Chloroethane
43813,"1,1-Dichloroethane"
43814,Methyl chloroform
43815,Ethylene dichloride
43816,Duplicate use 43839
